# Invoked by:
# $ caffeinate time python src/cpy/simulator.py -l 30 --latency=10 --bandwidth=50 --seek-rate=10000 --read-rate=50
# EXAMPLE_FILE_POSITIONS_LENGTHS_TUPAC_TR_004_svs:
#           $1      $2          $3       $4     $5          $6          $7          $8          $9      $10             $11
#greedy_length   Time(ms)     Hits     Miss    Hits%   Min. Bytes   Act. Bytes  Act. / Min.     sizeof Overhead  sizeof / Act.     GET Cost  Egress Cost   Total Cost Whole File Cost
              1  5826949.7        0   291224   0.000%      1311074      1311074     100.000%    1311676     +602       100.046%     0.145612     0.000122     0.145734        0.072678
              2  5827217.5        0   291224   0.000%      1311074      1311074     100.000%    1311676     +602       100.046%     0.145612     0.000122     0.145734        0.072678
              4  5826882.7        7   291217   0.002%      1311074      1311074     100.000%    1311676     +602       100.046%     0.145609     0.000122     0.145731        0.072678
              8  2915078.8   145547   145677  49.978%      1311074      1311074     100.000%    1311676     +602       100.046%     0.072839     0.000122     0.072961        0.072678
             16  1458581.7   218346    72878  74.975%      1311074      1311090     100.001%    1311692     +602       100.046%     0.036439     0.000122     0.036561        0.072678
             32   729859.7   254770    36454  87.482%      1311074      1311106     100.002%    1311708     +602       100.046%     0.018227     0.000122     0.018349        0.072678
             64   365412.1   272986    18238  93.737%      1311074      1311153     100.006%    1311715     +562       100.043%     0.009119     0.000122     0.009241        0.072678
            128   183126.6   282096     9128  96.866%      1311074      1311281     100.016%    1311843     +562       100.043%     0.004564     0.000122     0.004686        0.072678
            256    91934.5   286655     4569  98.431%      1311074      1311363     100.022%    1311925     +562       100.043%     0.002285     0.000122     0.002407        0.072678
            512    46329.1   288935     2289  99.214%      1311074      1312711     100.125%    1313233     +522       100.040%     0.001145     0.000122     0.001267        0.072678
           1024    23453.3   290078     1146  99.606%      1311074      1313932     100.218%    1314414     +482       100.037%     0.000573     0.000122     0.000695        0.072678
           2048    12035.3   290649      575  99.803%      1311074      1317004     100.452%    1317486     +482       100.037%     0.000288     0.000123     0.000410        0.072678
           4096     6360.5   290933      291  99.900%      1311074      1329292     101.390%    1329774     +482       100.036%     0.000145     0.000124     0.000269        0.072678
           8192     3530.5   291075      149  99.949%      1311074      1353868     103.264%    1354350     +482       100.036%     0.000074     0.000126     0.000201        0.072678
          16384     2128.8   291145       79  99.973%      1311074      1411212     107.638%    1411694     +482       100.034%     0.000039     0.000131     0.000171        0.072678
          32768     1442.2   291180       44  99.985%      1311074      1525900     116.385%    1526382     +482       100.032%     0.000022     0.000142     0.000164        0.072678
          65536     1153.6   291198       26  99.991%      1311074      1755276     133.881%    1755758     +482       100.027%     0.000013     0.000163     0.000176        0.072678
         131072     1014.4   291207       17  99.994%      1311074      2148492     163.873%    2148974     +482       100.022%     0.000008     0.000200     0.000209        0.072678
         262144     1010.7   291213       11  99.996%      1311074      2883584     219.941%    2884026     +442       100.015%     0.000005     0.000269     0.000274        0.072678
         524288     1193.2   291216        8  99.997%      1311074      4194304     319.914%    4194706     +402       100.010%     0.000004     0.000391     0.000395        0.072678
        1048576     1534.3   291218        6  99.998%      1311074      6291456     479.870%    6291818     +362       100.006%     0.000003     0.000586     0.000589        0.072678
        2097152     2273.3   291219        5  99.998%      1311074     10485760     799.784%   10486122     +362       100.003%     0.000003     0.000977     0.000979        0.072678
        4194304     4169.2   291219        5  99.998%      1311074     20971520    1599.568%   20971882     +362       100.002%     0.000003     0.001953     0.001956        0.072678
 #Cost of downloading complete file [0.726774 GB]: GET: 0.000000 Egress: 0.072677 Total: 0.072678
