# Simulation of Amazon AWS with latency 100ms, bandwidth 1MB/s
# $ python src/cpy/simulator.py --latency=100 --bandwidth=8
# EXAMPLE_FILE_POSITIONS_LENGTHS_TUPAC_TR_006_svs:
#           $1      $2          $3       $4     $5          $6          $7          $8          $9      $10             $11
#greedy_length   Time(ms)     Hits     Miss    Hits%   Min. Bytes   Act. Bytes  Act. / Min.     sizeof Overhead  sizeof / Act.
             0 50984880.6        0   254870   0.000%      1165658      1165658     100.000%    1166132     +474       100.041%
             1 50984861.9        0   254870   0.000%      1165658      1165658     100.000%    1166132     +474       100.041%
            16 12761691.8   191081    63789  74.972%      1165658      1165674     100.001%    1166148     +474       100.041%
            32  6384290.3   222962    31908  87.481%      1165658      1165690     100.003%    1166164     +474       100.041%
            64  3195087.5   238905    15965  93.736%      1165658      1165737     100.007%    1166179     +442       100.038%
           128  1599985.6   246879     7991  96.865%      1165658      1165865     100.018%    1166307     +442       100.038%
           256   801827.3   250869     4001  98.430%      1165658      1165947     100.025%    1166389     +442       100.038%
           512   402551.2   252865     2005  99.213%      1165658      1167567     100.164%    1167977     +410       100.035%
          1024   202520.2   253865     1005  99.606%      1165658      1169812     100.356%    1170190     +378       100.032%
          2048   102487.0   254365      505  99.802%      1165658      1172884     100.620%    1173262     +378       100.032%
          4096    52696.0   254614      256  99.900%      1165658      1185172     101.674%    1185550     +378       100.032%
          8192    27913.6   254738      132  99.948%      1165658      1209748     103.782%    1210126     +378       100.031%
         16384    15572.7   254800       70  99.973%      1165658      1258900     107.999%    1259278     +378       100.030%
         32768     9464.0   254831       39  99.985%      1165658      1357204     116.432%    1357582     +378       100.028%
         65536     6461.2   254847       23  99.991%      1165658      1553812     133.299%    1554190     +378       100.024%
        131072     5530.5   254854       16  99.994%      1165658      2012564     172.655%    2012942     +378       100.019%
